From,To,Agency,Discipline,OP/MT,Location,Equip. / Syst.,Delay Description,Duration,Hours,Date
07:32,07:36,E&A,E&A,MT,Finishing Area,Vertical Transfer,Bars stuck vertical transfer - Vertical trebsfrt lost the synchronistion,0:04, 0.07 ,09/04/2022,night
08:10,08:14,E&A,E&A,MT,,DCVAH Trip ,Chopping request from DCVAH during ghost rolling - DCVAH drive tripped,0:04, 0.07 ,10/04/2022,morning
11:07,11:19,E&A,E&A,MT,,Hot Metal Detector ,Fast Finishing Block 1 looper did not work - Hot Metal Detector  not detecting,0:12, 0.20 ,10/04/2022,morning
12:08,12:20,E&A,E&A,MT,,DCVAH Trip,"DCVAH tripped, one billet autochopped ",0:12, 0.20 ,11/04/2022,morning
10:35,13:00,E&A,E&A,MT,,Hot Charging,Accumulated delays of hot charging trials - Many stoppages during hot charging,1:21, 1.35 ,11/04/2022,morning
01:29,01:41,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to one bar of 14m over shoot in line 2 - Optimization failed,0:12, 0.20 ,11/04/2022,night
11:15,11:25,E&A,E&A,MT,Finishing Area,Pinchroll,Bar of 48m has a flat head undershoot in cb during normal auto rolling - Flat head caused by PRs Close timing ,0:10, 0.17 ,12/04/2022,morning
11:56,12:05,E&A,E&A,MT,Finishing Area,HMI,Bar of 14m overshooted in CB Line 2b during normal autorolling - HMI,0:09, 0.15 ,12/04/2022,morning
19:33,19:41,E&A,E&A,MT,Finishing Area,HMI,Last bar of 13 m over shoot in line 2 - Optimization failure,0:08, 0.13 ,12/04/2022,evening
20:54,21:07,E&A,E&A,MT,Finishing Area,HMI,Last bar of 13 m over shoot in line 2 - Optimization failure,0:13, 0.22 ,12/04/2022,evening
06:29,06:47,E&A,E&A,MT,,Twin Channel ,One billet auto chopped bar of 41m has a undershoot line 1 - Head of bar got stuck in Twin Channel  1a ,0:18, 0.30 ,13/04/2022,night
13:00,16:00,E&A,E&A,MT,,Hot Charging,74 GAPs created inside furnace and delays of waiting SMS billets after each technical stoppage - Hot charging Problems,1:29, 1.48 ,13/04/2022,Afternoon
04:02,04:15,MECH,MECH,MT,Finishing Area,Tying Machine ,One bendle went without the first tie in Tying Machine  - Tying machine 1 not working properly,0:13, 0.22 ,13/04/2022,night
04:39,04:48,E&A,E&A,MT,Finishing Area,HMI,Last bar of 13 m over shoot in line 2 - Optimization failure,0:09, 0.15 ,13/04/2022,night
14:37,14:44,E&A,E&A,MT,Finishing Area,HMI,Bar of 40m overshooted in CB at the end of billet line2 - Optipmization problem,0:07, 0.12 ,14/04/2022,Afternoon
13:00,16:13,E&A,E&A,MT,,Hot Charging,Accumulated delays of 39 cycle gaps inside furnace and many stoppages because of hot charging - Hot charging Problems,0:58, 0.97 ,14/04/2022,Afternoon
21:42,21:53,MECH,MECH,MT,,Looper,Front end of bar came out - looper 12 didn't work properly,0:11, 0.18 ,14/04/2022,evening
13:33,13:41,E&A,E&A,MT,Mill Area,Dividing Shear,Mill not reday - Dividing shear :Alarm machine lubrication min oil flow,0:08, 0.13 ,15/04/2022,Afternoon
13:48,14:02,E&A,E&A,MT,,Twin Channel ,One billet auto chopped under shoot TB 1b.....41 m - Front end of bar got stuck in Twin Channel  1b ,0:14, 0.23 ,15/04/2022,Afternoon
18:04,18:54,E&A,E&A,MT,,Pinchroll,Cobbe from Fast Finishing Block  2 to cut to length area - Front end of billet closed by PR and caused the cobble,0:50, 0.83 ,15/04/2022,evening
19:45,20:10,E&A,E&A,MT,,Twin Channel ,One billet auto chopped under shoot TB 1A...38 m - Front end of bar got stuck in Twin Channel  1a ,0:25, 0.42 ,15/04/2022,evening
23:32,00:27,E&A,E&A,MT,,Trucking Problem,Bar head too much flat and stuck at DCVAH2 and caused cobble from DCVAH to BGV2 - One of PRs befor CVAH close befor bar head arrival and make it flattened because of trucking problem,0:55, 0.92 ,15/04/2022,night
01:01,01:54,E&A,E&A,MT,,Trucking Problem,The same cobble repeated - One of PRs befor CVAH close befor bar head arrival and make it flattened because of trucking problem,0:53, 0.88 ,15/04/2022,night
15:24,17:05,E&A,E&A,MT,,DCVAH,Cobble from Fast Finishing Block  2 to TB - 4 Bars on the same side after DCVAH,1:41, 1.68 ,16/04/2022,Afternoon
19:46,20:31,E&A,E&A,MT,,Twin Channel ,"One billet chopped ,under shoot line 1b - Front end of bar got stuck in Twin Channel  1b and TB",0:45, 0.75 ,16/04/2022,evening
20:32,20:48,E&A,E&A,MT,Mill Area,Stand 15,One billet auto chopped material in st 15 line 2 going Down ,0:16, 0.27 ,16/04/2022,evening
23:09,00:32,MECH,MECH,MT,,Twin Channel ,The 3th bar of running billet came out of Twin Channel  1B and caused cobble in Twin Channel  and CB ,0:41, 0.68 ,16/04/2022,night
03:29,04:52,E&A,E&A,MT,Mill Area,Shear 01,Material come out in st 11 and caused gear box lub.oil switch flow damaged - Shear1 has make cutting the billet after part of the taile passs and making the looper11 in production position and,1:23, 1.38 ,18/04/2022,night
06:00,08:28,E&A,E&A,MT,,Hot Metal Detector ,Accumulated delays of inter billet can't be decreased less than 10 Sec ,0:18, 0.30 ,19/04/2022,night
22:23,23:13,E&A,E&A,MT,,Hot Metal Detector ,Cobble from Stand 1 to Stand 10 - Big tail end of billet stucked in shear 1 and next billet hit it due to Hot Metal Detector  7 was flickring,0:50, 0.83 ,19/04/2022,evening
23:59,00:28,E&A,E&A,MT,,Hot Metal Detector ,Cobble again after Stand 10 - Shear 1 make cycle cut after 15% of billet passed due to Hot Metal Detector  7 was flicring again,0:29, 0.48 ,19/04/2022,night
00:29,01:39,E&A,E&A,MT,,Hot Metal Detector ,Cobble again after Stand 10 - Shear 1 make cycle cut after 15% of billet passed due to Hot Metal Detector  7 was flicring again,1:10, 1.17 ,19/04/2022,night
01:40,02:16,MECH,MECH,MT,,Looper,Cobble detected at CVR line 2 to exit of stand 16 - Front end of material going down of CVR looper roller,0:36, 0.60 ,19/04/2022,night
04:17,04:33,E&A,E&A,MT,,Hot Metal Detector ,One billet rejected - Big tail end of billet stucked in shear 1 and next billet hit it due to Hot Metal Detector  7 was flickring,0:16, 0.27 ,19/04/2022,night
05:05,05:13,E&A,E&A,MT,,Hot Metal Detector ,Stop rolling - Hot Metal Detector  7 was flickring,0:08, 0.13 ,19/04/2022,night
17:05,17:11,E&A,E&A,MT,,Cold Shear,CCL area full - Cold shear stopped,0:06, 0.10 ,20/04/2022,Afternoon
12:42,12:52,E&A,E&A,MT,,Grease Unit,Mill stopped - Descaler ..grease unit rm and shear tripped,0:10, 0.17 ,21/04/2022,morning
13:00,19:25,E&A,E&A,MT,,Hot Charging,Accumulative delays of transfer stoppage from sms and shift to thier CB du to low transfer speed and billets accumulation / inter billet time changes and cycle gaps inside furnace / shift - CCM transfer speed less than RM and CCM productivity / furnace charging RT table alwayse empty between hot and cold mode / billet stopped on SMS side roller table ,2:45, 2.75 ,21/04/2022,Afternoon
23:29,23:41,E&A,E&A,MT,Mill Area,Grease Unit,Grease unit of mill and shear one stopped - The units tripped ,0:12, 0.20 ,21/04/2022,night
14:46,14:54,E&A,E&A,MT,Mill Area,Looper,"Cobble at stand10 looper , tow close billets discharged - Furnace exit RT2 speed decreased",0:08, 0.13 ,22/04/2022,Afternoon
17:40,17:44,E&A,E&A,MT,,Hot Metal Detector ,Hot Metal Detector  6 keep sensing without billet in the mill - Probably because of sun light was directly on it,0:04, 0.07 ,22/04/2022,Afternoon
19:11,19:21,MECH,MECH,MT,Finishing Area,Tying Machine ,Accumulative delays TM1 out of sevice - Guide wire clogged by scale,0:10, 0.17 ,22/04/2022,evening
10:34,10:51,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 14m over shoot in line 2 - Obtimization in line 2 failed,0:17, 0.28 ,23/04/2022,morning
11:28,11:54,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 14m over shoot in line 2 - Obtimization in line 2 failed,0:16, 0.27 ,23/04/2022,morning
14:47,15:02,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 08m over shoot in line 2 - Optimization in line 2 failed,0:15, 0.25 ,23/04/2022,Afternoon
19:46,19:57,E&A,E&A,MT,Mill Area,DCVAH,One bille auto Chopped and bar stucked in cb - DCVAH got trip,0:11, 0.18 ,23/04/2022,evening
01:02,02:35,MECH,MECH,MT,Finishing Area,Tying Machine ,Accumulative delays of TM3 out of service and get it on and off line many times - Wire guide clogged and guide roll jam,0:15, 0.25 ,24/04/2022,night
17:42,17:47,E&A,E&A,MT,Mill Area,Trucking Problem,Loop after S11 set in up position - Traking problem,0:05, 0.08 ,25/04/2022,Afternoon
11:20,13:00,E&A,E&A,MT,Furnace Area,Hot Charging,Accumulated delays of hot charging stoppages - Transfer speed less than RM productivity and CCM / furnace charging RT table alwayse empty / many stoppages from sms,0:40, 0.67 ,28/04/2022,morning
05:56,06:00,E&A,E&A,MT,,Photocell,CCL area full - PH 05 problem,0:03, 0.05 ,29/04/2022,night
06:00,06:12,E&A,E&A,MT,,Photocell,Previeus shift delay ccl area full - PH 05 problem,0:12, 0.20 ,30/04/2022,night
07:15,08:18,E&A,E&A,MT,,Lubrication Units,"CCL area full cold shear not working ,at the same time change tc- ring Fast Finishing Block  19 to 22 - Lubrication units problem",1:03, 1.05 ,30/04/2022,night
09:35,09:45,MECH,MECH,MT,Finishing Area,Cold Shear,CCL area full due to bars go down of roller table after cold shear - Cold shear blades not cut properly head of layer( bars bended in middle of billet),0:10, 0.17 ,01/05/2022,morning
10:32,10:35,MECH,MECH,MT,Finishing Area,Tying Machine ,CCL area full due to one bendle going without first tie.and stuck at roller table after tying M3 - feeding wire of first tie cut at twister of tying M1,0:22, 0.37 ,01/05/2022,morning
14:05,14:21,E&A,E&A,MT,Finishing Area,HMI,"One billet auto chopped,over shoot line 1 (13 m) - HMI",0:16, 0.27 ,01/05/2022,Afternoon
20:54,21:08,E&A,E&A,MT,Finishing Area,HMI,"One billet auto chopped,over shoot line 2 (13 m) - HMI",0:14, 0.23 ,01/05/2022,evening
22:48,23:41,MECH,MECH,MT,,Crank Shear,"Crank shear blades Gap opned and caused not proper head cut , the head cut stuck at stand 09 EG and caused cobble tow times - There is small shifting in blades arm",0:53, 0.88 ,01/05/2022,evening
23:41,01:52,E&A,E&A,MT,,Descaler,Imobilisation still activated from descaler to shear 1 and mill can't be started - Electrical problem,2:12, 2.20 ,01/05/2022,night
03:10,04:02,E&A,E&A,MT,,Twin Channel ,Twin Channel  2B didn't make cycles during discharging 2 billets and caused bars accumulation inside without any alarm till the ,0:52, 0.87 ,01/05/2022,night
06:24,06:28,E&A,E&A,MT,,Hot Metal Detector ,"Stop rolling - Hot Metal Detector  between S15,16 was flickering",0:04, 0.07 ,02/05/2022,night
06:39,06:45,E&A,E&A,MT,,Hot Metal Detector ,"Stop rolling again - Hot Metal Detector  between S15,16 was flickering again",0:06, 0.10 ,02/05/2022,night
12:34,12:44,E&A,E&A,MT,Finishing Area,HMI,Under shoot line 1 - Optimization failure,0:10, 0.17 ,03/05/2022,morning
13:25,14:02,MECH,MECH,MT,,Tail Breaker,One billet auto chopped due to cobble from dividing shear L2 to entry cooling bed - Coupling pin of tail braker line 2 was opened,0:37, 0.62 ,03/05/2022,Afternoon
16:50,17:04,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 41 m under shoot - Optimization failure,0:14, 0.23 ,03/05/2022,Afternoon
18:27,18:58,MECH,MECH,MT,,Crank Shear,0.5 billet manauly chopped due to small piece carry forward and stuck at entry guide S 09 - Crank shear blades Gap opned again to 5 mm,0:31, 0.52 ,03/05/2022,evening
00:30,01:29,MECH,MECH,MT,,Crank Shear,"Mill not ready - Mech-team working in shear 1 ,Crank shear blades Gap opned",0:59, 0.98 ,03/05/2022,night
04:24,04:43,MECH,MECH,MT,,Cold Shear,CCL area full bars stucked in cold shear - Cold shear changed of position,0:19, 0.32 ,03/05/2022,night
13:00,13:44,MECH,MECH,MT,,Cold Shear,Cumulative delays of bars hit the uper cold shear blades and bunded too much short bars created becaus of it cold shear does not cut well so cuting repeated many times during head cut - Cold shear blades gap too small,0:33, 0.55 ,04/05/2022,Afternoon
19:43,19:55,E&A,E&A,MT,Finishing Area,HMI,One billet auto chooped due to one bar of 13 over shoot L2 - Optimization failure,0:12, 0.20 ,04/05/2022,evening
08:18,08:41,E&A,E&A,MT,,LHS,"Fast Finishing Block 2 lubrification oil over max level, Fast Finishing Block  stopped / Oil level adjusted by mechanical team but LSH keep sensing high level - Adjust LSH manually by electrical team",0:23, 0.38 ,05/05/2022,morning
23:33,23:46,MECH,MECH,MT,Finishing Area,Cold Shear,CCL arae full due to due to bars going under roller table of Cold shear - Bottom blade of cold shear not good,0:13, 0.22 ,05/05/2022,night
23:54,00:14,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to last bar of 41m under shoot in line 1 - Optimization fuilare,0:20, 0.33 ,05/05/2022,night
00:36,00:46,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to last bar of 13m under shoot in line 1 - Optimization fuilare,0:10, 0.17 ,05/05/2022,night
02:27,02:33,E&A,E&A,MT,Finishing Area,Vertical Taransfer,CCL area full - BC vertical taransfer alignment unit open and close workingin the same time,0:06, 0.10 ,05/05/2022,night
07:09,08:42,MECH,MECH,MT,Mill Area,Looper,"3 cobbles at entry of stand 13, change entry of 13 by the old one / check twister guide gap and rollers / check stands alignement / check again the old entry guide - top entry roller of looper 12 changed by mech team during passes change and there was no enough clearance between looper line and roll",1:33, 1.55 ,06/05/2022,night
12:14,12:40,E&A,E&A,MT,,Twin Channel ,Twin Channel  2A didn't make cycle during rolling and caused cobble in CB ,0:26, 0.43 ,06/05/2022,morning
20:00,20:20,E&A,E&A,MT,Finishing Area,All Shears in Cut to Length ,One billet rejected due to mill not ready - All shears in cut to length area was tripped,0:20, 0.33 ,06/05/2022,evening
20:23,20:51,MECH,MECH,MT,,Crank Shear,One billet manually chopped due to small piece carry forward with head of billet and under shoot in line1 created after removed the piece from entry G09(Optimization failure because we chopped the billet two times) - Bad head cut of crank shear due to its blades gaps was opened,0:28, 0.47 ,06/05/2022,evening
22:36,22:50,MECH,MECH,MT,,Crank Shear,Two times small pieces carried forward with head of billet and stuck at entry guide S9 and one time cried forward with tail of billet and stuck at entry guide S11(two billets manaully chopped) - Bad head cut of crank shear due to its blades gaps was opened,0:14, 0.23 ,06/05/2022,evening
14:35,16:15,MECH,MECH,MT,,Crank Shear,Changing bottom eccentric arme of crank shear - Blades gap increased during rolling,1:40, 1.67 ,07/05/2022,Afternoon
08:02,08:12,MECH,MECH,MT,Mill Area,Lubrication Unit,"One billet rejected ,cooling water rings flow transducer fault - Lubrication unit fault Fast Finishing Block  line 2",0:10, 0.17 ,08/05/2022,morning
12:54,13:00,E&A,E&A,MT,Mill Area,Fast Finishing Block ,"Cobble from st 16 to Fast Finishing Block  1 - Fast Finishing Block  1 got trip,limit swich of cvr was bypassed last night by elec team and activated during rolling",0:06, 0.10 ,08/05/2022,morning
13:00,13:38,E&A,E&A,MT,,Fast Finishing Block ,"Continiouse delay of cobble from stand 16 to CVR1 , BGV stopped - Limit swich of cvr was bypassed last night by elec team and activated during rolling",0:38, 0.63 ,08/05/2022,Afternoon
15:43,16:06,E&A,E&A,MT,Finishing Area,HMI,"Bar of 42m undershoot in CB 1A at the end of billet, only 3m discharged in CB , the whole bar was straight - Optimisation and tracking problem",0:23, 0.38 ,08/05/2022,Afternoon
19:35,19:52,E&A,E&A,MT,,CVAH,CVAH preset off than on for less than 3 seconds and caused autochopped / no cobble in the mill,0:17, 0.28 ,08/05/2022,evening
16:58,17:14,E&A,E&A,MT,,Tail Breaker,1.3 billte auto chopped - TB 2b tripped,0:16, 0.27 ,09/05/2022,Afternoon
01:17,01:29,E&A,E&A,MT,,CVAH,CVAH2 preset off for less than 3 sec and caused autochopp without any cobble in the mill - Not clear,0:12, 0.20 ,09/05/2022,night
08:05,08:15,MECH,MECH,MT,Finishing Area,Tying Machine ,CCL area full due to one bundle going without first tie then caused bended bars - First tie cut at twister of tying M01,0:10, 0.17 ,10/05/2022,morning
18:00,18:21,E&A,E&A,MT,,DCVRH,One billet rejected - DCVRH line 1 lost of position,0:21, 0.35 ,10/05/2022,evening
19:04,19:58,E&A,E&A,MT,Mill Area,DCVRH,Mill not reday - ele-team working in DCVRH line 1,0:50, 0.83 ,10/05/2022,evening
21:43,22:03,E&A,E&A,MT,Finishing Area,HMI,"One bar of 38 m under sjoot in line 1A , around 5m of bar still stright before TB1A - Tracking and HMI",0:20, 0.33 ,10/05/2022,evening
14:15,14:57,MECH,MECH,MT,Finishing Area,Tying Machine ,CCL area full due to tying M01 set in down position - Plastic coupling between hydrauling pump and motor of tying M01 was damaged,0:42, 0.70 ,12/05/2022,Afternoon
14:06,14:26,E&A,E&A,MT,,Hot Metal Detector ,Under shoot (87 m) in line one one billet chopped - Hot Metal Detector  18 flickered,0:20, 0.33 ,14/05/2022,Afternoon
19:46,19:54,E&A,E&A,MT,,Shear 01,Shear 1 autochopping without any cobble detaction or any metal in the line,0:08, 0.13 ,15/05/2022,evening
12:18,13:00,MECH,MECH,MT,Furnace Area,Charging Door,Gab inside furnace - Charging door chaine damaged,0:42, 0.70 ,16/05/2022,morning
13:22,13:30,MECH,MECH,MT,,CVR 02,"Fire inside CVR2, under PR Coupeling Electrical motor , one billet rejected - Too much oil and grease",0:08, 0.13 ,16/05/2022,Afternoon
13:43,13:48,MECH,MECH,MT,,Pneumatic Valve,12M stopper before short bars area remained in down position after transfering short bars - Pneumatic valve damaged,0:05, 0.08 ,16/05/2022,Afternoon
22:17,00:15,E&A,E&A,MT,Furnace Area,Unloading Device,Accumulated delays of unloading device stops almost every 05 billets - Photocells not cleaned,0:14, 0.23 ,17/05/2022,evening
20:00,20:51,MECH,MECH,MT,Finishing Area,Cold Shear,Mechanical team continue maintenance activities on cold shear ,0:51, 0.85 ,18/05/2022,evening
22:46,23:45,E&A,E&A,MT,Mill Area,Hot Metal Detector ,"Cobble in BGV both lines at the same time , metal cut between CVR1 and stand 16 because of tension - Fast Finishing Block  looper L1 and L2 lifting commande signal missed before cobble , even there were looper Hot Metal Detector s signal and BGV torque signel",0:59, 0.98 ,18/05/2022,evening
00:56,05:00,E&A,E&A,MT,,Encoder Problem ,"Gaps inside furnace caused by furnace charging table miss alignement , calibration can't be done by operator and bypasse done by Elec team but alignement alarm still and charging table - Encoder problem stops many times ",0:38, 0.63 ,18/05/2022,night
13:01,14:39,MECH,MECH,MT,Mill Area,Stand 07,Stop rolling due to big leakage water in S 07 - Principal Cooling hose of S 07 damaged,1:38, 1.63 ,19/05/2022,Afternoon
15:10,15:23,MECH,MECH,MT,Mill Area,Fast Finishing Block ,Mill not ready due to Fast Finishing Block  line 2 not ready - Main delivery oil pressure of bearings in max value,0:13, 0.22 ,19/05/2022,Afternoon
22:24,23:42,E&A,E&A,MT,,DRM,Cobble from st 04 to shear 01 - DRM 01 tripped,1:18, 1.30 ,19/05/2022,evening
10:16,10:36,E&A,E&A,MT,Mill Area,DRM,Stands 15 and 16 stopped - DRM 04 tripped,0:20, 0.33 ,20/05/2022,morning
11:55,12:37,E&A,E&A,MT,Mill Area,DRM,"Stands 11,12,13,14 stopped - DRM 03 tripped",0:42, 0.70 ,20/05/2022,morning
02:54,04:25,MECH,MECH,MT,,Cold Shear,Stop rolling thick smoke coming from cold shear - Clatch problem,1:31, 1.52 ,20/05/2022,night
10:18,10:29,E&A,E&A,MT,Mill Area,Hot Metal Detector ,"Alarm of optimisation impossibale, sometimes Fast Finishing Block  looper didn't work and Fast Finishing Block  Hot Metal Detector  vision fault alarm - Hot Metal Detector s problem",0:11, 0.18 ,21/05/2022,morning
10:55,11:55,E&A,E&A,MT,,Electrovalve Coil Socket,Accumulated delays of wheel stopper go up very slowly - Electrovalve coil socket loosed,0:12, 0.20 ,21/05/2022,morning
14:54,15:59,E&A,E&A,MT,Finishing Area,Tail Breaker,Cobble from cooling bed to cut to length area in 2B - The bar befor the last bar under shoot and stuck in tail breaker,1:05, 1.08 ,21/05/2022,Afternoon
16:09,16:33,E&A,E&A,MT,,Transfer Chains,Auto mode missed in transfer chains - Signal not coming,0:24, 0.40 ,21/05/2022,Afternoon
22:59,23:55,E&A,E&A,MT,,Chain Transfer,CCL area full - Chain transfer #4 continued working without stop Alarm:chain transfer #4:drive communication fault,0:56, 0.93 ,21/05/2022,evening
14:47,15:08,E&A,E&A,MT,Mill Area,Hot Metal Detector ,Cobble in Fast Finishing Block  2 after 22 - Fast Finishing Block  looper did not work and Hot Metal Detector  15 fleckring,0:21, 0.35 ,22/05/2022,Afternoon
01:20,01:29,E&A,E&A,MT,Finishing Area,Tying Machine ,Ccl area full - Tying machine 1 stop in down position,0:09, 0.15 ,22/05/2022,night
11:53,11:58,MECH,MECH,MT,,Grease Unit,One billet rejected due to the billet stay in descaler water - Grease unit for rolling mill time out in both lines,0:05, 0.08 ,25/05/2022,morning
16:50,17:05,E&A,E&A,MT,Finishing Area,HMI,"One billet auto chopped - HMI ,the last bar 24 m after cvah",0:15, 0.25 ,25/05/2022,Afternoon
13:54,14:44,MECH,MECH,MT,,Twin Channel ,0.25 of billet auto chopped - Head of bar got stuck in Twin Channel  1a,0:50, 0.83 ,26/05/2022,Afternoon
20:59,21:36,MECH,MECH,MT,,Twin Channel ,One billet auto chopped - Head of last bar got stuck in Twin Channel  1A,0:37, 0.62 ,27/05/2022,evening
07:14,07:41,MECH,MECH,MT,,Twin Channel ,Cobble from Twin Channel  2A to cut to leagth - Material head bended and stuck inside Twin Channel 2A,0:27, 0.45 ,28/05/2022,night
08:55,09:15,E&A,E&A,MT,,Line 1,Autochop in line 1 - material broke,0:20, 0.33 ,28/05/2022,morning
15:11,15:47,MECH,MECH,MT,,Twin Channel ,Cobble from Fast Finishing Block  1 to Twin Channel  - One bar did not completely discharge from tail Braker and Twin Channel  and the next bar hit it,0:36, 0.60 ,29/05/2022,Afternoon
19:41,20:00,E&A,E&A,MT,,HMI,Over shoot line 1 the lenght of the bar phisically not the smae in the HMI - No clear resan,0:19, 0.32 ,29/05/2022,evening
20:00,20:07,E&A,E&A,MT,,HMI,Continue delay from previous shift ,0:07, 0.12 ,29/05/2022,evening
03:27,03:49,MECH,MECH,MT,,Twin Channel ,A lot of bars stuck in Twin Channel  and caused bad discharging in C B - No clear reson,0:22, 0.37 ,29/05/2022,night
03:59,04:10,E&A,E&A,MT,Finishing Area,HMI,One billet autchop and one reject due to the last bar of 36 m under shoot - Optimiztaion problem,0:11, 0.18 ,29/05/2022,night
05:24,05:33,E&A,E&A,MT,Finishing Area,HMI,Stop rolling - Over shoot line 01 one bar 13 m one billet rejected,00:09, 0.15 ,30/05/2022,night
13:46,13:55,MECH,MECH,MT,,Looper 14,"Looper 14 not stable - Looper 14 , toop roller  damaged",0:09, 0.15 ,03/06/2022,Afternoon
15:05,15:18,MECH,MECH,MT,Finishing Area,Twin Channel ,CCL area full - Bar got stuck at Twin Channel  2b,0:13, 0.22 ,04/06/2022,Afternoon
18:03,18:06,E&A,E&A,MT,Finishing Area,Hot Metal Detector ,One billet auto chopped due to cobble detected at CB entry L 2b - The last bar of billet discharged near Hot Metal Detector  29,0:03, 0.05 ,05/06/2022,evening
01:27,01:44,E&A,E&A,MT,Finishing Area,DRA 01,CCL area full - DRA 01 Dc link got trip,0:17, 0.28 ,05/06/2022,night
01:41,01:46,E&A,E&A,MT,,CCL Area,CCL area full - One bundle going smaller with 2 layers,0:05, 0.08 ,06/06/2022,night
02:11,02:16,E&A,E&A,MT,,CCL Area,CCL area full - One bundle going smaller with 2 layers again,0:05, 0.08 ,06/06/2022,night
06:13,06:26,E&A,E&A,MT,,Hot Metal Detector ,Under shoot line one - Last bar discharged near to Hot Metal Detector ,0:13, 0.22 ,07/06/2022,night
13:56,14:07,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to last bar over shoot in line 1 - Optimization failure,0:11, 0.18 ,07/06/2022,Afternoon
11:17,11:32,E&A,E&A,MT,,Hot Metal Detector ,One billet auto chopped - One bar was discharged near Hot Metal Detector ,0:15, 0.25 ,08/06/2022,morning
18:40,18:52,E&A,E&A,MT,Finishing Area,HMI,Last bar of 13 m over shoot in line 2 - Optimization failure,0:12, 0.20 ,08/06/2022,evening
18:52,,E&A,E&A,MT,Finishing Area,Tying Machine,Cumulative delays of slow rolling  - Bundles go without ties in throuth the Tying Machine  due to PH 7 stay sensing without bendle  ,0:30, 0.50 ,08/06/2022,evening
19:40,19:55,MECH,MECH,MT,Mill Area,Twin Channel ,Many bars head stuck in Twin Channel  2B - First bar head bended,0:15, 0.25 ,08/06/2022,evening
07:46,08:00,E&A,E&A,MT,Mill Area,Hot Metal Detector ,One billet auto chopped - Bar was discharged near Hot Metal Detector  ..2b,0:14, 0.23 ,09/06/2022,night
09:35,10:01,E&A,E&A,MT,Mill Area,Hot Metal Detector ,One billet auto chopped - Bar was discharged near Hot Metal Detector  ..2a,0:26, 0.43 ,09/06/2022,morning
14:55,15:03,E&A,E&A,MT,Finishing Area,HMI,Last bar of 9 m over shoot in line 1 - Optimization failure,0:08, 0.13 ,09/06/2022,Afternoon
00:34,00:46,E&A,E&A,MT,Finishing Area,HMI,Last bar under shoot line 1,0:12, 0.20 ,10/06/2022,night
00:43,01:03,E&A,E&A,MT,Furnace Area,Drive,Furnace exit roller table sopped - Drive fault,0:20, 0.33 ,10/06/2022,night
08:39,09:08,MECH,MECH,MT,,Twin Channel ,On billet auto chopped due to cobble detection at Twin Channel  1b - Front end of the last bar hit ,0:29, 0.48 ,11/06/2022,morning
10:44,10:57,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 36 under shoot - HMI,0:13, 0.22 ,11/06/2022,morning
14:17,14:30,E&A,E&A,MT,Finishing Area,HMI,One billet auo chopped over shoot line 2..13 m - HMI,0:13, 0.22 ,11/06/2022,Afternoon
04:23,04:31,E&A,E&A,MT,,Lances,CCL area full - Lances lost position,0:08, 0.13 ,11/06/2022,night
12:21,12:29,E&A,E&A,MT,Finishing Area,HMI,One billet autochop due to line 1last bar 35meter under shoot - HMI,0:08, 0.13 ,12/06/2022,morning
12:48,13:00,E&A,E&A,MT,Finishing Area,HMI,One billet autochop due to line 2 last bar 30 meter over shoot - HMI,0:12, 0.20 ,12/06/2022,morning
18:43,18:51,E&A,E&A,MT,,Hot Metal Detector ,One billet auto chopped due to cobble detected at CB entry L1a - The last bar discharged near than Hot Metal Detector  26,0:08, 0.13 ,12/06/2022,evening
23:45,23:54,MECH,MECH,MT,Finishing Area,Cooling Bed,Change chaine of alignment roller in CB - Chain damaged,0:09, 0.15 ,12/06/2022,night
02:14,02:26,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped over shoot line 1….9 m - HMI,0:12, 0.20 ,12/06/2022,night
04:27,04:31,E&A,E&A,MT,Mill Area,Stopper,CCL area full - Wheeled stopper problem,0:04, 0.07 ,12/06/2022,night
15:23,15:34,E&A,E&A,MT,Finishing Area,HMI,The last of 32m under shoot - Optimization not working properly in line 2,0:11, 0.18 ,13/06/2022,Afternoon
15:50,16:07,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 10m over shoot - Optimization not working properly in line 2 due to Hot Metal Detector  23 was flickering,0:17, 0.28 ,13/06/2022,Afternoon
04:38,04:48,E&A,E&A,MT,Finishing Area,HMI,"One billet auto chopped ,The last of 36m under shoot ",0:10, 0.17 ,13/06/2022,night
11:02,11:15,E&A,E&A,MT,Mill Area,Drive Trip,Autochopping request from DCVAH 2 - Drive tripped,0:13, 0.22 ,14/06/2022,morning
